Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country,Duration (m)
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,ES,3.0676833333333335
Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,2023-07-28,92,199.946,True,82.19999999999999,71.1,102.984,ES,3.3324333333333334
PERRO NEGRO,"Bad Bunny, Feid",nadie sabe lo que va a pasar mañana,2023-10-13,96,162.767,True,91.1,77.8,96.057,ES,2.7127833333333333
El Mambo,Kiko Rivera,El Mambo,2023-07-13,82,129.845,False,88.4,71.8,139.991,ES,2.164083333333333
OA,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",OA,2023-10-13,85,235.2,True,81.3,86.6,99.994,ES,3.92
MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,2023-10-13,97,267.194,True,78.7,62.1,139.056,ES,4.453233333333333
REINA,"Mora, Saiko",ESTRELLA,2023-08-28,89,211.879,True,72.39999999999999,57.8,167.985,ES,3.5313166666666667
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,197.92,True,70.8,73.7,91.986,ES,3.2986666666666666
Columbia,Quevedo,Columbia,2023-07-07,95,186.0,False,66.8,71.2,100.02,ES,3.1
MODELITO,"Mora, YOVNGCHIMI",PARAÍSO,2022-11-03,85,190.496,True,71.1,75.2,145.047,ES,3.1749333333333336
SEDA,"Bad Bunny, Bryant Myers",nadie sabe lo que va a pasar mañana,2023-10-13,90,190.476,True,70.6,56.6,125.876,ES,3.1746
HIBIKI,"Bad Bunny, Mora",nadie sabe lo que va a pasar mañana,2023-10-13,92,208.0,True,80.10000000000001,64.5,119.935,ES,3.466666666666667
Buenas,"Quevedo, Saiko",Buenas,2023-09-22,87,192.954,False,62.5,75.5,87.948,ES,3.2159
POLARIS - Remix,"Saiko, Quevedo, Feid, Mora",POLARIS (Remix),2023-06-08,86,288.0,True,62.3,79.9,169.901,ES,4.8
DILUVIO,Rauw Alejandro,PLAYA SATURNO,2023-07-07,82,197.052,True,84.5,79.5,94.969,ES,3.2842
Holanda,Jhayco,Holanda,2023-07-28,92,231.693,True,83.1,75.9,107.961,ES,3.8615500000000003
COSAS QUE NO TE DIJE,Saiko,COSAS QUE NO TE DIJE,2021-09-17,81,224.725,False,61.6,67.30000000000001,99.971,ES,3.7454166666666664
Quien Es Dei V?,Dei V,Quien Es Dei V?,2023-03-17,82,162.244,True,55.7,74.4,100.247,ES,2.704066666666667
