Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,ES
Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,2023-07-28,92,199.946,True,82.19999999999999,71.1,102.984,ES
PERRO NEGRO,"Bad Bunny, Feid",nadie sabe lo que va a pasar mañana,2023-10-13,96,162.767,True,91.10000000000001,77.8,96.057,ES
El Mambo,Kiko Rivera,El Mambo,2023-07-13,82,129.845,False,88.4,71.8,139.991,ES
OA,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",OA,2023-10-13,85,235.2,True,81.3,86.6,99.994,ES
MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,2023-10-13,97,267.194,True,78.7,62.1,139.056,ES
REINA,"Mora, Saiko",ESTRELLA,2023-08-28,89,211.879,True,72.39999999999999,57.8,167.985,ES
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,197.92,True,70.8,73.7,91.986,ES
Columbia,Quevedo,Columbia,2023-07-07,95,186.0,False,66.8,71.2,100.02,ES
MODELITO,"Mora, YOVNGCHIMI",PARAÍSO,2022-11-03,85,190.496,True,71.1,75.2,145.047,ES
SEDA,"Bad Bunny, Bryant Myers",nadie sabe lo que va a pasar mañana,2023-10-13,90,190.476,True,70.6,56.599999999999994,125.876,ES
HIBIKI,"Bad Bunny, Mora",nadie sabe lo que va a pasar mañana,2023-10-13,92,208.0,True,80.10000000000001,64.5,119.935,ES
Buenas,"Quevedo, Saiko",Buenas,2023-09-22,87,192.954,False,62.5,75.5,87.948,ES
POLARIS - Remix,"Saiko, Quevedo, Feid, Mora",POLARIS (Remix),2023-06-08,86,288.0,True,62.3,79.9,169.901,ES
DILUVIO,Rauw Alejandro,PLAYA SATURNO,2023-07-07,82,197.052,True,84.5,79.5,94.969,ES
Holanda,Jhayco,Holanda,2023-07-28,92,231.693,True,83.1,75.9,107.961,ES
COSAS QUE NO TE DIJE,Saiko,COSAS QUE NO TE DIJE,2021-09-17,81,224.725,False,61.6,67.30000000000001,99.971,ES
Quien Es Dei V?,Dei V,Quien Es Dei V?,2023-03-17,82,162.244,True,55.7,74.4,100.247,ES
QLONA,"KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,94,172.797,True,84.1,73.8,169.918,ES
"Milo J: Bzrp Music Sessions, Vol. 57","Bizarrap, Milo j","Milo J: Bzrp Music Sessions, Vol. 57",2023-10-03,89,189.901,False,79.5,55.300000000000004,124.109,ES
BABY HELLO,"Rauw Alejandro, Bizarrap",PLAYA SATURNO,2023-07-07,79,222.461,True,77.3,89.3,130.013,ES
El Merengue,"Marshmello, Manuel Turizo",El Merengue,2023-03-03,89,189.668,False,77.5,67.7,124.011,ES
FINA,"Bad Bunny, Young Miko",nadie sabe lo que va a pasar mañana,2023-10-13,93,216.327,True,84.7,72.39999999999999,94.601,ES
Fruto,"Bizarrap, Milo j",en dormir sin Madrid,2023-10-04,91,132.294,False,80.10000000000001,51.7,160.254,ES
Bandidona,Saiko,Bandidona,2023-10-26,66,160.941,False,63.800000000000004,66.0,169.962,ES
DONDE SE APRENDE A QUERER?,Mora,ESTRELLA,2023-08-28,87,144.427,False,72.2,51.9,170.058,ES
A 300,"JC Reyes, Pedro Calderon",A 300,2023-02-17,78,169.208,False,79.2,72.5,138.867,ES
THUNDER Y LIGHTNING,"Bad Bunny, Eladio Carrion",nadie sabe lo que va a pasar mañana,2023-10-13,87,217.133,True,55.2,74.4,156.027,ES
NO PIENSO LLAMAR,"Soge Culebra, Quevedo, GARABATTO",STORM,2023-10-13,66,198.352,False,67.9,55.60000000000001,169.997,ES
Arena y Sal,"Omar Montes, Saiko, Tunvao",Arena y Sal,2023-05-18,80,174.415,False,72.2,78.2,117.996,ES
LUCES DE TECNO,Feid,"MOR, No Le Temas a La Oscuridad",2023-09-29,81,164.293,False,64.3,65.10000000000001,130.019,ES
SEYA,"GIMS, Morad, SativaMusic",LES DERNIÈRES VOLONTÉS DE MOZART (SYMPHONY),2023-10-05,61,188.484,False,79.80000000000001,68.10000000000001,101.005,ES
Los del Espacio,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",Los del Espacio,2023-06-01,88,338.0,False,81.3,68.2,120.011,ES
El Cielo,"Sky Rompiendo, Feid, Myke Towers",El Cielo,2023-06-02,88,191.32,True,71.5,64.2,105.964,ES
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beéle",VAGABUNDO,2023-05-12,87,215.6,False,81.69999999999999,85.1,127.019,ES
Antidepresivos,Saiko,Antidepresivos,2023-08-03,79,145.384,False,72.0,61.3,103.942,ES
No Estuviste En Lo Malo - REMIX,"Morad, Beny Jr, DELLAFUENTE",No Estuviste En Lo Malo (REMIX),2023-10-04,77,268.32,False,72.39999999999999,53.7,125.142,ES
Narcotics (with Bryant Myers),"Dei V, Bryant Myers",Narcotics (with Bryant Myers),2023-09-14,82,173.991,True,71.1,71.8,159.953,ES
Corazón Roto pt. 3,"Brray, Anuel AA, Chencho Corleone, Jhayco, Ryan Castro",Corazón Roto pt. 3,2023-09-08,86,348.4,True,84.1,74.1,92.988,ES
Madrid City,Ana Mena,Madrid City,2023-09-29,75,172.727,False,73.0,87.0,132.011,ES
La Bachata,Manuel Turizo,2000,2023-03-17,85,162.637,False,83.5,67.9,124.98,ES
Supernova,Saiko,Supernova,2023-04-19,78,190.909,False,72.5,74.3,87.979,ES
Mi Luz (ft. Rels B),"Rvfv, Rels B",NASTU,2022-01-28,80,168.0,False,70.5,52.6,200.031,ES
GATITA GANGSTER,"KAROL G, Dei V",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,81,170.92,True,82.6,55.2,96.981,ES
Eva Longoria,"Ozuna, Davido",Afro,2023-05-26,79,199.85,False,61.5,67.60000000000001,196.076,ES
No_se_ve.mp3,"Emilia, LUDMILLA, ZECCA",No_se_ve.mp3,2023-05-03,84,203.636,True,75.2,66.60000000000001,131.986,ES
Classy 101,"Feid, Young Miko",Classy 101,2023-03-31,93,195.986,True,85.9,65.8,100.065,ES
EL TONTO,"Lola Indigo, Quevedo",EL DRAGÓN,2023-04-13,77,187.986,False,80.10000000000001,80.10000000000001,110.029,ES
UN PREVIEW,Bad Bunny,nadie sabe lo que va a pasar mañana,2023-10-13,87,165.582,True,79.5,81.5,94.991,ES
GANGSTER (PQFNEDG),"Ovy On The Drums, Quevedo, Yandel",GANGSTER (PQFNEDG),2023-10-19,78,215.47,True,62.7,82.8,176.08,ES
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,PT
Carro (feat. Dillaz),"Bárbara Bandeira, Dillaz",Finda,2023-10-06,61,202.624,False,73.3,53.0,114.972,PT
Tempo,Van Zee,Tempo,2020-02-12,68,188.735,False,68.60000000000001,23.799999999999997,177.882,PT
DENTRO DA HILUX,"Luan Pereira, MC Ryan SP, Mc Daniel",DENTRO DA HILUX,2023-08-24,88,163.013,False,73.0,51.7,129.987,PT
Alma Nua,Van Zee,Alma Nua,2022-12-16,67,203.684,True,74.9,42.1,76.031,PT
Menina Caliente,"MC Torugo, Dj Ramon Sucesso",Menina Caliente,2023-10-14,56,168.158,False,84.8,62.3,159.9,PT
Tá OK,"DENNIS, MC Kevin o Chris",Tá OK,2023-05-04,87,92.093,False,86.3,96.0,130.118,PT
Novo Balanço,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",Dos Prédios Deluxe,2023-05-19,85,140.322,True,83.6,49.9,124.05,PT
Sai Da Frente,Juliette,Ciclone,2023-08-25,60,167.445,False,86.3,81.5,134.957,PT
PIÑA COLADA,"LON3R JOHNY, Plutonio",PIÑA COLADA,2023-07-29,65,202.388,False,70.0,58.699999999999996,134.092,PT
Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",Baile do Bruxo,2023-09-29,83,221.538,True,73.4,22.8,162.524,PT
Chamadas,"Ivandro, Van Zee",Chamadas,2023-09-29,64,156.672,False,64.4,63.2,99.94,PT
Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, Dj Nk Da Serra",Faz um Vuk Vuk (Teto Espelhado),2023-07-20,88,138.461,True,92.0,41.3,130.078,PT
greedy,Tate McRae,greedy,2023-09-15,99,131.872,True,75.0,73.3,111.018,PT
Chakras,"Ivandro, Julinho Ksd",Chakras,2023-04-28,68,196.384,False,76.1,78.60000000000001,99.993,PT
Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",Confia (Ao Vivo),2023-01-20,87,159.322,False,69.1,75.2,167.073,PT
Nosso Quadro,"AgroPlay, Ana Castela",Nosso Quadro,2023-02-02,80,173.698,False,69.1,70.8,160.018,PT
MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,2023-10-13,97,267.194,True,78.7,62.1,139.056,PT
Depois de Ontem,GBoss,Depois de Ontem,2023-09-12,62,158.894,False,63.7,54.50000000000001,129.953,PT
Tengo,Juliette,Ciclone,2023-08-25,69,129.692,False,72.89999999999999,85.5,129.964,PT
UH LA LA LA,"LON3R JOHNY, Plutonio",ANTI$$OCIAL,2023-04-01,62,180.3,True,85.5,55.1,119.979,PT
Novidade na Área,"Mc Livinho, DJ Matt D",Novidade na Área,2023-06-23,85,120.014,True,62.5,34.0,130.231,PT
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,197.92,True,70.8,73.7,91.986,PT
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,229.477,False,59.599999999999994,65.8,100.012,PT
Strangers,Kenya Grace,Strangers,2023-09-01,98,172.964,False,62.8,52.300000000000004,169.982,PT
Let's Go 4,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,2023-08-29,89,641.941,True,78.2,63.1,113.427,PT
Perto,Van Zee,Perto,2022-11-18,63,209.538,True,80.10000000000001,25.6,130.101,PT
Water,Tyla,Water,2023-07-28,94,200.255,False,67.30000000000001,72.2,117.187,PT
Amar De Cor,Van Zee,Amar De Cor,2023-07-28,62,165.333,False,54.800000000000004,45.9,67.828,PT
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,146.436,False,79.3,51.2,109.994,PT
Colãs,Dillaz,Colãs,2023-08-09,61,193.17,False,67.5,67.10000000000001,164.039,PT
Planeta,"Bispo, Bárbara Tinoco",Planeta,2023-03-24,64,167.012,False,83.7,43.5,75.008,PT
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,279.833,False,62.6,54.7,109.946,PT
Como Tu (feat. Ivandro),"Bárbara Bandeira, Ivandro",Finda,2023-10-06,54,207.873,False,56.2,67.10000000000001,187.57,PT
Ballena,"Vulgo FK, MC PH, Veigh, Pedro Lotto, Fepache",Perdas & Ganhos,2023-07-14,84,200.0,False,66.4,50.8,120.313,PT
El Merengue,"Marshmello, Manuel Turizo",El Merengue,2023-03-03,89,189.668,False,77.5,67.7,124.011,PT
Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Nagalli, Bvga Beatz, Supernova Ent",Dos Prédios Deluxe,2023-05-19,81,188.497,True,78.9,35.6,111.937,PT
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,89,230.48,True,86.4,55.60000000000001,99.974,PT
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,231.0,False,57.49999999999999,82.39999999999999,94.971,PT
Laços,Van Zee,Laços,2023-10-27,46,206.315,False,80.60000000000001,47.9,113.978,PT
Devia Ir,Wet Bed Gang,Devia Ir,2018-07-20,62,293.748,False,69.5,51.300000000000004,94.116,PT
Mo Boy,Dillaz,Reflexo,2016-05-26,59,232.0,False,75.6,65.5,180.165,PT
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),2023-10-26,86,180.381,False,62.9,41.3,77.983,PT
Maria Joana,"Nuno Ribeiro, Calema, Mariza",Maria Joana,2023-04-14,65,227.807,False,48.9,80.7,93.417,PT
Conexões de Máfia (feat. Rich The Kid),"Matuê, Rich The Kid",Conexões de Máfia (feat. Rich The Kid),2023-04-30,80,221.538,True,77.10000000000001,57.699999999999996,116.96,PT
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,92,244.36,True,44.5,53.7,122.769,PT
Cruel Summer,Taylor Swift,Lover,2019-08-23,100,178.426,False,55.2,70.19999999999999,169.994,PT
Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,231.833,False,73.7,72.5,96.012,PT
Loucamente,"D.A.M.A, Los Romeros",Loucamente,2023-05-12,62,222.909,False,70.7,68.10000000000001,151.919,PT
WHERE SHE GOES,Bad Bunny,nadie sabe lo que va a pasar mañana,2023-10-13,85,231.704,True,65.10000000000001,79.9,143.992,PT
Petit génie,"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",Petit génie,2023-08-04,83,217.142,True,80.0,58.099999999999994,126.046,FR
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,FR
